"Below a list of things that I expect to implement in the next version of Clarity module:","A continuación, se muestra una lista de cosas que espero implementar en la próxima versión de este módulo:<br>
                     - ???<br><br>
                     Si tiene alguna otra idea, comuníquese conmigo en <a href='https://es.mariosam.eu/contacto/' target='_blank'>Mario SAM</a>.<br>
                     Si te encantó este módulo GRATUITO, también puedes ayudarme con una donación en <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a>. ¡Gracias!"
"Clarity Configuration","Clarity Configuración"
"Clarity Settings","Microsoft Clarity"
"Enable","Habilitar"
"ex.: 3xkyqgjd4r","ex.: 3xkyqgjd4r"
"Expected for the next versions","Esperado para las próximas versiones"
"How to use Clarity? Access the Mario SAM blog and read the post.","¿Cómo utilizar? Accede al blog de <a href='https://es.mariosam.eu' target='_blank'>Mario SAM</a> y lee la publicación."
"Mario SAM","Mario SAM"
"Module Enable","Activar Módulo"
"My Contact","Mi Contacto"
"No","No"
"Yes","Si"
"You can talk with me and/or hire me!","¡Puedes hablar conmigo y/o contratarme!"
"Your code ID","Su ID de Código"
